case_id,case_type,subject_identified,account_scope_documented,lookback_days,scope_elements_total,scope_elements_reviewed,evidence_item_count,evidence_source_types,corroborated_typology,disposition,rationale_claim_count,rationale_cited_count,escalation_trigger_count,escalation_flag,alert_to_open_days,open_to_complete_days,chronology_present,missing_5w,empty_narrative_fields,label,category,expected_check
CASE-0000000,STRUCTURING,1,1,143,4,4,4,open_source|transaction_records|internal_referral|negative_news_search,0,CLOSED_NO_FINDING,3,3,0,1,3,13,1,,,0,minor_findings,
CASE-0000001,LAYERING_PASSTHROUGH,1,1,264,6,6,3,correspondence,0,CLOSED_NO_FINDING,4,4,0,1,5,23,1,,,0,minor_findings,
CASE-0000002,STRUCTURING,1,1,142,3,3,4,transaction_records|negative_news_search|kyc_file,0,ESCALATED_WITH_FINDING,6,6,2,1,3,18,1,,,0,clean,
CASE-0000003,SANCTIONS_REFERRAL,1,1,160,5,5,6,kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,3,19,1,,,0,minor_findings,
CASE-0000004,SANCTIONS_REFERRAL,1,1,128,4,4,6,open_source|correspondence,0,CLOSED_NO_FINDING,4,4,0,0,1,13,1,what,,0,major_findings,
CASE-0000005,FRAUD_REFERRAL,1,1,103,4,4,8,account_statements,0,CLOSED_NO_FINDING,5,4,0,0,4,12,1,,,1,plant_uncited_disposition,unsupported_disposition
CASE-0000006,LAYERING_PASSTHROUGH,1,1,237,7,7,6,negative_news_search|open_source,0,CLOSED_NO_FINDING,2,2,0,0,5,23,1,,,0,clean,
CASE-0000007,FRAUD_REFERRAL,1,1,47,8,8,4,open_source|negative_news_search|correspondence,0,CLOSED_NO_FINDING,6,6,0,0,2,20,1,,conclusion,0,major_findings,
CASE-0000008,SANCTIONS_REFERRAL,1,1,101,6,6,3,internal_referral|kyc_file|negative_news_search|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,3,6,1,what,,0,major_findings,
CASE-0000009,STRUCTURING,1,1,113,7,7,3,kyc_file|correspondence,0,CLOSED_NO_FINDING,3,3,0,0,5,22,1,,,0,clean,
CASE-0000010,FRAUD_REFERRAL,1,1,106,3,3,5,internal_referral|open_source,0,CLOSED_NO_FINDING,6,6,0,0,1,23,1,,,0,clean,
CASE-0000011,LAYERING_PASSTHROUGH,1,1,279,8,8,7,internal_referral|correspondence|kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,2,38,1,,,0,clean,
CASE-0000012,FUNNEL_ACCOUNT,1,1,183,5,5,6,account_statements|transaction_records|internal_referral|negative_news_search,0,CLOSED_NO_FINDING,3,3,1,0,2,21,1,,,1,plant_missed_escalation,missed_escalation
CASE-0000013,STRUCTURING,1,1,105,6,6,5,negative_news_search|correspondence|open_source|account_statements,1,CLOSED_NO_FINDING,5,5,0,0,2,14,1,,,1,plant_hidden_contradiction,contradictory_disposition
CASE-0000014,STRUCTURING,1,1,93,8,8,4,open_source|internal_referral,0,CLOSED_NO_FINDING,4,4,0,0,4,14,1,,,0,clean,
CASE-0000015,STRUCTURING,1,1,59,6,6,5,open_source|account_statements|transaction_records,0,CLOSED_NO_FINDING,5,5,0,0,2,13,1,,,0,major_findings,
CASE-0000016,STRUCTURING,1,1,124,6,6,9,account_statements|open_source,0,ESCALATED_WITH_FINDING,2,2,2,1,2,12,1,,,0,clean,
CASE-0000017,SANCTIONS_REFERRAL,1,1,161,8,8,10,account_statements|kyc_file,0,CLOSED_NO_FINDING,3,3,1,0,3,9,1,,,1,plant_missed_escalation,missed_escalation
CASE-0000018,SANCTIONS_REFERRAL,1,1,101,7,7,4,transaction_records|negative_news_search,1,ESCALATED_WITH_FINDING,2,2,1,1,5,8,1,,,0,clean,
CASE-0000019,FRAUD_REFERRAL,1,1,63,7,7,8,account_statements|internal_referral|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,5,16,1,,,0,clean,
CASE-0000020,STRUCTURING,1,1,90,3,3,4,negative_news_search|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,4,13,1,,,0,clean,
CASE-0000021,FRAUD_REFERRAL,1,1,81,4,4,7,correspondence|internal_referral|negative_news_search|transaction_records,0,CLOSED_NO_FINDING,6,6,0,0,2,16,1,,,0,clean,
CASE-0000022,SANCTIONS_REFERRAL,1,1,143,3,3,5,kyc_file|negative_news_search|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,2,8,1,,,0,clean,
CASE-0000023,LAYERING_PASSTHROUGH,1,1,193,3,3,9,transaction_records|correspondence|kyc_file,0,CLOSED_NO_FINDING,3,3,0,0,4,20,1,,,0,clean,
CASE-0000024,STRUCTURING,1,1,130,6,6,4,internal_referral|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,2,36,1,,,0,minor_findings,
CASE-0000025,STRUCTURING,1,1,139,4,4,4,correspondence|negative_news_search|open_source,0,CLOSED_NO_FINDING,6,6,0,0,1,25,1,,,0,clean,
CASE-0000026,FRAUD_REFERRAL,1,1,102,4,4,3,internal_referral|kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,2,24,1,who,,0,major_findings,
CASE-0000027,STRUCTURING,1,1,115,6,6,6,transaction_records|internal_referral,0,CLOSED_NO_FINDING,3,3,0,0,2,23,1,,,0,clean,
CASE-0000028,STRUCTURING,1,1,118,7,7,8,transaction_records|kyc_file,1,ESCALATED_WITH_FINDING,3,3,2,1,3,14,1,,,0,clean,
CASE-0000029,LAYERING_PASSTHROUGH,1,1,196,7,7,6,transaction_records|internal_referral|open_source,0,CLOSED_NO_FINDING,2,2,0,0,3,25,1,,,0,clean,
CASE-0000030,FRAUD_REFERRAL,1,1,105,3,3,8,kyc_file|internal_referral|transaction_records|correspondence,0,CLOSED_NO_FINDING,6,6,0,0,2,16,1,,,0,clean,
CASE-0000031,FUNNEL_ACCOUNT,1,1,240,4,4,9,internal_referral|account_statements|negative_news_search|kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,3,28,1,,,0,clean,
CASE-0000032,STRUCTURING,1,1,137,7,7,10,open_source|internal_referral|account_statements,0,CLOSED_NO_FINDING,6,6,0,0,4,20,1,,,0,clean,
CASE-0000033,FRAUD_REFERRAL,1,1,84,5,5,8,correspondence|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,2,20,1,,,0,clean,
CASE-0000034,STRUCTURING,1,1,151,7,7,4,open_source|internal_referral|negative_news_search,0,ESCALATED_WITH_FINDING,3,3,2,1,2,26,1,,,0,clean,
CASE-0000035,STRUCTURING,1,1,146,3,3,6,correspondence|internal_referral,0,CLOSED_NO_FINDING,6,6,0,0,1,25,1,,,0,clean,
CASE-0000036,LAYERING_PASSTHROUGH,1,1,276,6,6,8,negative_news_search|internal_referral|correspondence,0,CLOSED_NO_FINDING,5,5,0,0,1,28,1,,,0,clean,
CASE-0000037,LAYERING_PASSTHROUGH,1,1,244,6,6,6,kyc_file|negative_news_search|open_source|account_statements,0,CLOSED_NO_FINDING,4,0,0,0,2,34,1,,,1,plant_uncited_disposition,unsupported_disposition
CASE-0000038,FUNNEL_ACCOUNT,1,1,235,4,4,5,account_statements|transaction_records|open_source|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,1,20,1,,,0,clean,
CASE-0000039,FUNNEL_ACCOUNT,1,1,316,7,7,3,open_source|correspondence|transaction_records|kyc_file,0,CLOSED_NO_FINDING,4,4,0,0,4,23,1,,,0,clean,
CASE-0000040,FRAUD_REFERRAL,1,1,86,8,8,6,account_statements|kyc_file|open_source,0,CLOSED_NO_FINDING,5,5,0,0,4,16,0,,,0,major_findings,
CASE-0000041,SANCTIONS_REFERRAL,1,1,160,4,4,3,negative_news_search|correspondence|transaction_records,0,CLOSED_NO_FINDING,2,2,0,0,2,15,1,,,0,clean,
CASE-0000042,STRUCTURING,1,1,117,5,5,6,transaction_records,0,CLOSED_NO_FINDING,4,4,0,0,5,32,1,,,0,minor_findings,
CASE-0000043,FUNNEL_ACCOUNT,1,1,185,8,7,3,open_source,0,CLOSED_NO_FINDING,6,6,0,0,1,36,1,,,1,plant_unreviewed_scope,cleared_with_unreviewed_scope
CASE-0000044,LAYERING_PASSTHROUGH,1,1,290,5,5,5,negative_news_search|internal_referral|transaction_records|account_statements,0,CLOSED_NO_FINDING,4,4,0,1,2,27,1,,,0,minor_findings,
CASE-0000045,FUNNEL_ACCOUNT,1,1,208,8,8,6,internal_referral|kyc_file,0,CLOSED_NO_FINDING,6,6,0,0,4,23,1,,,0,clean,
CASE-0000046,SANCTIONS_REFERRAL,1,1,128,5,5,8,negative_news_search|internal_referral,0,CLOSED_NO_FINDING,4,4,0,0,5,11,0,,,0,major_findings,
CASE-0000047,STRUCTURING,1,1,140,6,6,9,internal_referral|negative_news_search,0,CLOSED_NO_FINDING,4,0,0,0,3,19,1,,,1,plant_uncited_disposition,unsupported_disposition
CASE-0000048,FUNNEL_ACCOUNT,1,1,102,4,4,4,open_source|account_statements|correspondence,0,CLOSED_NO_FINDING,6,6,0,0,5,19,1,when|what,,0,major_findings,
CASE-0000049,STRUCTURING,1,1,130,5,5,6,account_statements|internal_referral,0,CLOSED_NO_FINDING,5,5,0,0,5,18,1,,,0,clean,
CASE-0000050,SANCTIONS_REFERRAL,1,1,96,3,3,6,internal_referral|account_statements|kyc_file,0,CLOSED_NO_FINDING,6,6,0,0,4,8,1,,,0,clean,
CASE-0000051,LAYERING_PASSTHROUGH,1,1,245,8,8,7,account_statements|transaction_records|correspondence,0,CLOSED_NO_FINDING,4,4,0,0,5,21,1,,,0,clean,
CASE-0000052,LAYERING_PASSTHROUGH,1,1,249,8,8,7,correspondence|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,2,20,1,,,0,clean,
CASE-0000053,STRUCTURING,1,1,160,3,3,7,account_statements|internal_referral|open_source|transaction_records,1,ESCALATED_WITH_FINDING,2,2,2,1,5,9,1,,,0,clean,
CASE-0000054,FUNNEL_ACCOUNT,1,1,196,6,6,4,open_source|transaction_records|negative_news_search,0,CLOSED_NO_FINDING,2,2,0,0,3,38,1,,,0,clean,
CASE-0000055,FRAUD_REFERRAL,1,1,86,3,3,9,negative_news_search|correspondence|account_statements|open_source,0,CLOSED_NO_FINDING,5,5,0,0,1,27,1,,,0,clean,
CASE-0000056,STRUCTURING,1,1,130,5,5,3,account_statements,0,CLOSED_NO_FINDING,4,4,3,0,5,23,1,,,1,plant_missed_escalation,missed_escalation
CASE-0000057,STRUCTURING,1,1,110,6,6,6,internal_referral|kyc_file|open_source,1,ESCALATED_WITH_FINDING,2,2,2,1,4,19,1,,,0,clean,
CASE-0000058,LAYERING_PASSTHROUGH,1,1,212,7,7,5,correspondence|account_statements|transaction_records,0,CLOSED_NO_FINDING,2,2,0,0,2,26,1,where|who,,0,major_findings,
CASE-0000059,FUNNEL_ACCOUNT,1,1,243,6,6,3,internal_referral|kyc_file|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,3,27,1,,,0,clean,
CASE-0000060,STRUCTURING,1,1,161,3,3,7,transaction_records|account_statements|open_source|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,5,16,1,,,0,clean,
CASE-0000061,LAYERING_PASSTHROUGH,1,1,230,6,6,8,internal_referral|transaction_records|account_statements,0,CLOSED_NO_FINDING,4,4,0,0,4,37,1,,,0,clean,
CASE-0000062,FUNNEL_ACCOUNT,1,1,185,7,7,4,kyc_file|correspondence|transaction_records,0,CLOSED_NO_FINDING,5,5,0,0,4,34,1,,,0,clean,
CASE-0000063,FRAUD_REFERRAL,1,1,82,7,7,3,negative_news_search|kyc_file,1,CLOSED_NO_FINDING,6,6,0,0,1,21,1,,,1,plant_hidden_contradiction,contradictory_disposition
CASE-0000064,SANCTIONS_REFERRAL,1,1,156,4,4,10,negative_news_search,0,CLOSED_NO_FINDING,3,3,0,1,2,8,1,,,0,minor_findings,
CASE-0000065,STRUCTURING,1,1,136,3,3,5,internal_referral|kyc_file|negative_news_search,0,CLOSED_NO_FINDING,4,4,0,0,1,18,1,,,0,clean,
CASE-0000066,FUNNEL_ACCOUNT,1,1,207,6,6,5,kyc_file|open_source,0,CLOSED_NO_FINDING,4,4,0,0,4,27,1,,,0,clean,
CASE-0000067,LAYERING_PASSTHROUGH,1,1,0,5,5,10,open_source|negative_news_search,0,CLOSED_NO_FINDING,5,5,0,0,1,24,1,,,1,plant_missing_mandatory,missing_mandatory_element
CASE-0000068,FUNNEL_ACCOUNT,1,1,214,8,8,9,correspondence|open_source,0,CLOSED_NO_FINDING,2,2,0,0,3,36,0,,conclusion|case_background,0,major_findings,
CASE-0000069,STRUCTURING,1,1,152,3,3,10,negative_news_search|open_source,0,CLOSED_NO_FINDING,2,2,0,0,5,12,1,,,0,clean,
CASE-0000070,FUNNEL_ACCOUNT,1,1,116,5,5,9,transaction_records|kyc_file|negative_news_search|open_source,0,CLOSED_NO_FINDING,4,4,0,0,2,17,1,,case_background,0,major_findings,
CASE-0000071,FRAUD_REFERRAL,1,1,96,3,3,4,account_statements|internal_referral|kyc_file,0,CLOSED_NO_FINDING,2,2,1,0,1,18,1,,,1,plant_missed_escalation,missed_escalation
CASE-0000072,FUNNEL_ACCOUNT,1,1,278,7,7,5,account_statements|transaction_records,0,CLOSED_NO_FINDING,6,6,0,0,2,29,1,,,0,clean,
CASE-0000073,LAYERING_PASSTHROUGH,1,1,200,7,7,10,kyc_file|open_source|correspondence|transaction_records,1,CLOSED_NO_FINDING,5,5,0,0,2,28,1,,,1,plant_hidden_contradiction,contradictory_disposition
CASE-0000074,STRUCTURING,1,1,111,7,7,9,open_source,0,CLOSED_NO_FINDING,5,5,0,1,4,23,1,,,0,minor_findings,
CASE-0000075,LAYERING_PASSTHROUGH,1,1,236,8,8,3,correspondence|internal_referral|transaction_records|open_source,0,CLOSED_NO_FINDING,4,4,0,1,3,15,1,,,0,minor_findings,
CASE-0000076,STRUCTURING,1,1,144,8,8,5,transaction_records|internal_referral|correspondence|kyc_file,0,CLOSED_NO_FINDING,5,5,0,0,2,20,1,,conclusion|case_background,0,major_findings,
